var,type,nivel.error,mean.y,sd.y
t,131,900,-0.22225077784285,1.21615995473458
t,131,850,-0.172055926756566,1.1606758124193
t,131,800,-0.0572443263618421,0.931531071840068
t,131,750,-0.0801629333224264,1.02375008183635
t,131,700,0.0161205342362556,1.0062628657795
t,131,400,-0.0786348551486506,0.919868451029337
t,131,250,-0.199319463908862,0.997931666156422
t,131,350,-0.0600875389814646,0.821702203864309
t,131,200,-0.114838627990709,1.0846960078877
t,131,300,-0.111429049522225,0.958527404393951
t,131,550,-0.191234746567373,1.01085886927929
t,131,1000,-0.0219424896765428,0.987990678441848
t,131,950,-0.371350408041764,1.22053447287919
t,131,600,-0.174325611276749,0.893003732299178
u,231,900,-0.00687054057933581,0.989457320061774
u,231,850,0.148459835499208,0.986891748671407
u,231,800,0.127653851976264,0.923463898085812
u,231,750,0.0757818341603129,0.993189032816694
u,231,700,-0.00697349255748148,0.869216860930795
u,231,400,0.0926235034704829,0.897265014051374
u,231,250,-0.000530776380686001,1.13229163833741
u,231,350,-0.0728432205550287,0.915994754875277
u,231,200,-0.413909284584301,1.09932049140532
u,231,300,-0.0337000014068123,0.892235600545283
u,231,550,0.22447596078837,0.817982384021126
u,231,1000,-0.489623680323389,0.784550411957713
u,231,950,-0.347279877259965,0.968677578642338
u,231,600,0.0949394302950109,0.900948021840795
v,231,900,-0.167249787754247,1.048089250134
v,231,850,-0.331132775524568,0.887004337243816
v,231,800,-0.244965728877764,0.864836080713966
v,231,750,-0.350264334075446,0.991242909271857
v,231,700,-0.23752042960013,1.00628911228064
v,231,400,0.182740309730317,0.894952742001265
v,231,250,-0.0968219631195356,1.17681537527734
v,231,350,0.0875595767371223,0.820036746592484
v,231,200,-0.0186519004822351,1.14643790640768
v,231,300,0.138286128104542,0.887000444289854
v,231,550,0.043915181797955,0.887687488853878
v,231,1000,0.262978167418801,0.893900829559426
v,231,950,-0.129903574675633,1.06385574141315
v,231,600,0.027122598889593,0.909068056193925
t,131,650,-0.107484758900728,1.03952676124106
t,131,450,0.0163526660142218,0.976430159182822
t,131,500,-0.0718581391997855,1.00094001129753
u,231,650,-0.0823948270816183,0.800366253038869
u,231,450,0.187174484907174,0.881818929137243
u,231,500,0.254254120402675,0.855398001861337
v,231,650,0.0370477134038762,0.959344661992512
v,231,450,0.0195007321975726,0.836463604687442
v,231,500,0.0376921796250261,0.814649094034923
t,120,950,0.601248957343655,1.42120109633544
t,120,850,0.693977739843492,1.43333364224915
t,120,700,0.487559087073263,1.02530768573228
t,120,500,0.114405099822729,1.01931681755506
t,120,400,0.00083700532910888,0.979856423037968
t,120,300,0.0725787917990204,1.01605477791833
t,120,250,-0.0923008367270451,0.971856294730023
t,120,200,-0.0067625844800141,1.05008802300983
t,120,150,-0.0147232066354469,1.2142675883812
t,120,100,-0.419578474948035,1.29876592164388
t,120,800,0.626326843380713,1.1919522110836
t,120,750,0.586066929804876,1.03270644780595
t,120,650,0.472346137541052,1.03778929859797
t,120,550,0.407213826202424,1.1008047344072
t,120,350,0.0699776373554141,0.945747881076489
t,120,75,-0.519214099563388,1.43312776148897
t,120,50,0.132884244509033,1.75621216332179
t,120,1000,1.01757580750516,1.25231950166158
t,120,900,-0.00939907749911987,2.06188899914721
t,120,450,-0.0398262560089654,1.12018472283989
t,120,600,0.374199830978532,1.09945726604195
u,220,950,-0.626610500120902,1.21187125766629
u,220,850,-0.17662595720936,1.02815150028678
u,220,700,-0.409146137412593,1.01721782126556
u,220,500,-0.126373050536461,0.916275100696405
u,220,400,0.0244528607732144,1.00294464836466
u,220,300,0.0729402958781965,1.12656870180707
u,220,250,0.47268957468071,1.14522205031414
u,220,200,0.636090537952402,1.24267481906829
u,220,150,0.593885699297909,1.29918433007121
u,220,100,0.154404442352157,1.13168419670158
u,220,75,-0.255433939530335,1.19200405945839
u,220,50,-0.522608377053347,1.12860250362329
u,220,900,-0.442995967578826,0.962322563408027
u,220,800,-0.109726124931997,1.08711173496684
u,220,750,-0.229457169517717,1.06045390686322
u,220,650,-0.493396852041997,0.918227584024699
u,220,600,-0.242096283867312,0.904710934329058
u,220,550,-0.0380295894450633,1.16984507874308
u,220,450,-0.158345664466624,0.962200824178897
u,220,350,0.00773034449650123,1.01007653758332
u,220,1000,-0.41391138499828,1.18532623105737
v,220,950,-0.0566623152072476,1.24330901150048
v,220,850,-0.0234550286038744,1.23541751119793
v,220,700,-0.389532797368628,1.13422393696971
v,220,500,-0.118050426926527,1.00187039421538
v,220,400,0.0623321517056079,1.08678801959795
v,220,300,0.250201664020222,1.23788312332941
v,220,250,0.290598217307308,1.29683301994513
v,220,200,0.0917936168553817,1.70378855576138
v,220,150,0.0141496908062677,1.50845341757355
v,220,100,0.250716135251739,1.17594822979029
v,220,75,-0.0255737641544469,1.44208025426692
v,220,50,-0.283616188360361,1.48497327115489
v,220,900,0.218093447172155,1.37908388253423
v,220,800,-0.0456926432505055,1.13370605096731
v,220,750,-0.284871141528656,1.04587579365661
v,220,650,-0.122161092204463,0.948261668751952
v,220,600,-0.225549077462059,0.966646960621608
v,220,550,0.0442888190274407,0.919257317371973
v,220,450,0.062541546481461,1.00725540892116
v,220,350,0.120004877954459,1.08257834797575
v,220,1000,0.0486290306281604,0.976954926506685
t,133,250,0.132205268550541,1.15356827594597
t,133,300,0.287951278690635,0.994802754077683
u,233,250,0.44911216660339,1.12737208989268
u,233,300,0.592497451896827,0.985800155372838
v,233,250,0.419364856218028,1.20394696325802
v,233,300,0.28494991519071,1.20049542246723
t,133,450,0.636754340589261,1.27081316968585
t,133,750,1.14306108418819,1.15161243239375
t,133,400,0.60747125809786,0.633426075488126
u,233,450,-0.108635401583418,0.934921952215877
u,233,750,-0.497861243409041,0.728455863122883
u,233,400,-0.354129468892818,0.956892525961262
v,233,450,-0.0121606033774001,1.12477873070857
v,233,750,-0.208953292487282,0.793356658287393
v,233,400,0.992906818703527,0.91305155362104
t,133,350,1.0652133962068,0.865613652014062
t,133,650,0.858507072379744,0.615567046123097
t,133,600,0.272997451478625,0.371789558023899
t,133,550,0.129141452483005,0.525485829531539
t,133,500,0.299621409364747,0.360788578929387
t,133,700,2.09068204420973,0.345128085312643
t,133,200,0.907617494885401,1.38148974135663
t,133,950,-0.0608502611665022,1.25998112332636
t,133,900,0.150580491660304,0.591322849163061
t,133,850,-0.0956679367052407,0.406057546529234
t,133,800,-0.721382475860868,0.773150933186604
u,233,350,-0.667704750861747,0.908504882701986
u,233,650,-0.159686387463421,0.465433762262589
u,233,600,0.123839853865685,0.59466649665667
u,233,550,0.633892260115473,0.709881647463307
u,233,500,0.449665000545311,0.113917916613218
u,233,700,-0.66928431864985,0.48476970262858
u,233,200,-0.165247054920047,1.19138787376903
u,233,950,-0.0152376878148587,0.31206385376606
u,233,900,0.0775653682401182,0.228938128417193
u,233,850,-0.239875288441741,0.235507847156635
u,233,800,-0.161376314657797,0.251976280162558
v,233,350,1.35868251525488,0.491722203861904
v,233,650,-0.247010520953063,0.511979200849954
v,233,600,-0.540036203047412,0.284301978868749
v,233,550,-0.588370337146173,0.618983420903442
v,233,500,-0.254537669156537,0.140381919563268
v,233,700,-1.07171074641327,0.951676795293566
v,233,200,0.356894278876796,1.26934806557281
v,233,950,-1.22593945170646,1.35263431963484
v,233,900,1.00186260971982,0.354374142382575
v,233,850,0.259890689107432,0.193724416262084
v,233,800,0.138435153363952,1.27214849045883
t,130,400,-0.934358070263363,0.0193358663615694
u,230,400,0.73169189849715,1.01154668169616
v,230,400,0.388789516369359,0.33210242399893
t,130,250,-0.275399356239468,0.0692126497617745
u,230,250,-1.35359953039559,0.123139369698234
v,230,250,1.02699341622843,0.30548840932707
t,130,350,5.57719447088548,0
